"Name","data.open_face","data.question","data.ratio_missing","f1"
"peachy-sweep-100","all","doing_today","0.25","0.3960784673690796"
"skilled-sweep-99","all","doing_today","0.2","0.5206349492073059"
"flowing-sweep-98","all","doing_today","0.15","0.3489823341369629"
"proud-sweep-97","all","doing_today","0.1","0.5703228116035461"
"golden-sweep-96","all","doing_today","0.05","0.5336999297142029"
"fiery-sweep-95","all","controlling_temper","0.25","0.5362318754196167"
"snowy-sweep-94","all","controlling_temper","0.2","0.4428111016750336"
"summer-sweep-93","all","controlling_temper","0.15","0.5171670317649841"
"prime-sweep-92","all","controlling_temper","0.1","0.487384557723999"
"rich-sweep-91","all","controlling_temper","0.05","0.48262110352516174"
"earnest-sweep-90","all","argued_someone","0.25","0.5651515126228333"
"winter-sweep-89","all","argued_someone","0.2","0.6191614866256714"
"rich-sweep-88","all","argued_someone","0.15","0.553016722202301"
"balmy-sweep-87","all","argued_someone","0.1","0.6001887917518616"
"jolly-sweep-86","all","argued_someone","0.05","0.5533480048179626"
"pleasant-sweep-85","all","anything_regret","0.25","0.4311448037624359"
"amber-sweep-84","all","anything_regret","0.2","0.4731481373310089"
"dry-sweep-83","all","anything_regret","0.15","0.4102940261363983"
"peachy-sweep-82","all","anything_regret","0.1","0.5046514868736267"
"stoic-sweep-81","all","anything_regret","0.05","0.5961112380027771"
"absurd-sweep-80","all","dream_job","0.25","0.5472221970558167"
"swift-sweep-79","all","dream_job","0.2","0.5188045501708984"
"absurd-sweep-78","all","dream_job","0.15","0.5306723117828369"
"grateful-sweep-77","all","dream_job","0.1","0.4711283147335053"
"swift-sweep-76","all","dream_job","0.05","0.5785744786262512"
"sweet-sweep-75","action_unit","doing_today","0.25","0.6438832879066467"
"glorious-sweep-74","action_unit","doing_today","0.2","0.7008042335510254"
"decent-sweep-73","action_unit","doing_today","0.15","0.6898527145385742"
"ethereal-sweep-72","action_unit","doing_today","0.1","0.7253705859184265"
"wandering-sweep-71","action_unit","doing_today","0.05","0.7592355608940125"
"toasty-sweep-70","action_unit","controlling_temper","0.25","0.5840816497802734"
"avid-sweep-69","action_unit","controlling_temper","0.2","0.6062802672386169"
"snowy-sweep-68","action_unit","controlling_temper","0.15","0.6445959210395813"
"rural-sweep-67","action_unit","controlling_temper","0.1","0.6744475364685059"
"dainty-sweep-66","action_unit","controlling_temper","0.05","0.7108497023582458"
"confused-sweep-65","action_unit","argued_someone","0.25","0.7107999920845032"
"graceful-sweep-64","action_unit","argued_someone","0.2","0.7269698977470398"
"dauntless-sweep-63","action_unit","argued_someone","0.15","0.7229118943214417"
"atomic-sweep-62","action_unit","argued_someone","0.1","0.7343433499336243"
"lyric-sweep-61","action_unit","argued_someone","0.05","0.7756507992744446"
